,acousticness,album,danceability,energy,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,track_number,uri,valence
20,0.0278,MAP OF THE SOUL : 7,0.469,0.87,2BgZrbbAZxSnyE7U5efVrG,0.0,0.313,-4.475,Intro : Persona,66,0.342,86.622,1,spotify:track:2BgZrbbAZxSnyE7U5efVrG,0.652
21,0.0923,MAP OF THE SOUL : 7,0.645,0.862,1ZpFxOhpzT1MDCq7zjtOV1,0.0,0.192,-4.757,Boy With Luv (Feat. Halsey),67,0.0965,119.991,2,spotify:track:1ZpFxOhpzT1MDCq7zjtOV1,0.798
25,0.115,MAP OF THE SOUL : 7,0.385,0.798,2Nib4r0saYQf2pUV4RFDhl,0.0,0.181,-6.439,Interlude : Shadow,72,0.483,149.756,6,spotify:track:2Nib4r0saYQf2pUV4RFDhl,0.141
26,0.137,MAP OF THE SOUL : 7,0.719,0.758,3bkkMZEAhx7rTVz1C0itRQ,0.0,0.129,-5.167,Black Swan,74,0.0851,147.023,7,spotify:track:3bkkMZEAhx7rTVz1C0itRQ,0.49
27,0.0222,MAP OF THE SOUL : 7,0.781,0.762,0ono6UCNVZ1XqOm6j78Blu,0.0,0.121,-5.188,Filter,78,0.0626,110.042,8,spotify:track:0ono6UCNVZ1XqOm6j78Blu,0.86
28,0.151,MAP OF THE SOUL : 7,0.674,0.64,4vTgx6h4seHvkuFh84JXYP,0.0,0.0925,-5.139,My Time,77,0.0339,99.908,9,spotify:track:4vTgx6h4seHvkuFh84JXYP,0.664
29,0.0433,MAP OF THE SOUL : 7,0.643,0.667,3op7HNwLli54MBjFGzIlZO,0.0,0.0904,-6.993,Louder than bombs,74,0.152,145.999,10,spotify:track:3op7HNwLli54MBjFGzIlZO,0.485
30,0.118,MAP OF THE SOUL : 7,0.583,0.817,2QyuXBcV1LJ2rq01KhreMF,0.0,0.338,-5.146,ON,82,0.0987,105.936,11,spotify:track:2QyuXBcV1LJ2rq01KhreMF,0.438
31,0.0394,MAP OF THE SOUL : 7,0.72,0.824,1aKuG1GG76xPLUkjBbQo3W,0.0,0.0509,-5.086,UGH!,75,0.128,165.998,12,spotify:track:1aKuG1GG76xPLUkjBbQo3W,0.333
32,0.0802,MAP OF THE SOUL : 7,0.566,0.548,4AlihYDqxXshKhvh5tnMfP,0.0,0.11,-6.456,00:00 (Zero O’Clock),75,0.0579,157.999,13,spotify:track:4AlihYDqxXshKhvh5tnMfP,0.196
33,0.017,MAP OF THE SOUL : 7,0.589,0.696,4BKOjYosPhw334moS3wlbO,0.0,0.0808,-7.981,Inner Child,74,0.0725,134.953,14,spotify:track:4BKOjYosPhw334moS3wlbO,0.332
34,0.0668,MAP OF THE SOUL : 7,0.55,0.747,7w05lsU2VLSeiT8Nukrv5M,0.0,0.0536,-5.211,Friends,75,0.0407,79.98,15,spotify:track:7w05lsU2VLSeiT8Nukrv5M,0.648
35,0.0104,MAP OF THE SOUL : 7,0.703,0.646,1xfXXujIlLZAx5wpu46Nyk,0.0,0.191,-6.658,Moon,73,0.0596,141.87,16,spotify:track:1xfXXujIlLZAx5wpu46Nyk,0.64
36,0.00485,MAP OF THE SOUL : 7,0.661,0.84,37TSJmYKLxXmx8OehFpqMN,0.0,0.287,-4.805,Respect,71,0.116,91.457,17,spotify:track:37TSJmYKLxXmx8OehFpqMN,0.524
37,0.225,MAP OF THE SOUL : 7,0.526,0.575,44WLOqH7QayQOQdeUHeKUK,0.0,0.108,-5.215,We are Bulletproof : the Eternal,77,0.0309,84.047,18,spotify:track:44WLOqH7QayQOQdeUHeKUK,0.19
38,0.0121,MAP OF THE SOUL : 7,0.808,0.903,3r9FFjLrAIQjoR8pSHVPC9,0.000233,0.0993,-3.106,Outro : Ego,73,0.0958,116.988,19,spotify:track:3r9FFjLrAIQjoR8pSHVPC9,0.473
39,0.137,MAP OF THE SOUL : 7,0.591,0.848,3IB5qOeMayvpOdHxYCL5tZ,0.0,0.372,-4.397,ON (Feat. Sia),74,0.0828,105.922,20,spotify:track:3IB5qOeMayvpOdHxYCL5tZ,0.386
41,0.0923,MAP OF THE SOUL : PERSONA,0.645,0.862,5KawlOMHjWeUjQtnuRs22c,0.0,0.192,-4.757,Boy With Luv (feat. Halsey),82,0.0965,119.991,2,spotify:track:5KawlOMHjWeUjQtnuRs22c,0.798
